date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:31	121/121	---MCZ	200	added ('OK')	text/plain	date:Fri,%2023%20Jun%202023%2005:45:32%20GMT	https://xion.progressionstudios.com/robots.txt		(from )
09:45:33	138684/138684	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2005:45:32%20GMT	https://xion.progressionstudios.com/	F:/WinHTTrack/Clean%20Architecture%20Project/xion.progressionstudios.com/index.html	(from )
09:45:33	97573/97573	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2006:42:49%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css01f9812085c2572d49f054240bf2cab2ba6c437124db8a6f04535b452413c.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css01f9812085c2572d49f054240bf2cab2ba6c437124db8a6f04535b452413c.css	(from https://xion.progressionstudios.com/)
09:45:34	10580/10580	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-cssc262635f4184c2ea58c67c72d197b991db938f215109432ba6a90268de40e.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-cssc262635f4184c2ea58c67c72d197b991db938f215109432ba6a90268de40e.css	(from https://xion.progressionstudios.com/)
09:45:34	231147/231147	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css25305ef2abc27e31621e4b9759bda83499478601c337327a73a4ae6494430.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css25305ef2abc27e31621e4b9759bda83499478601c337327a73a4ae6494430.css	(from https://xion.progressionstudios.com/)
09:45:34	382/382	---M--	200	added ('OK')	text/css	date:Sat,%2020%20May%202023%2006:42:49%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css4b044280b52648d7e0d37f8e8d4bfa45cd6b77bf08930999d8c4f8bff9242.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css4b044280b52648d7e0d37f8e8d4bfa45cd6b77bf08930999d8c4f8bff9242.css	(from https://xion.progressionstudios.com/)
09:45:35	2350/2350	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css582b037251c835c018228e981164aeee4c71622d5bf05b65cb7a52b22cab4.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css582b037251c835c018228e981164aeee4c71622d5bf05b65cb7a52b22cab4.css	(from https://xion.progressionstudios.com/)
09:45:35	17924/17924	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css06c8f724dbd5e66daebc8e0b7c6ab1dd9db7d14d1e93b155912561759cf35.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css06c8f724dbd5e66daebc8e0b7c6ab1dd9db7d14d1e93b155912561759cf35.css	(from https://xion.progressionstudios.com/)
09:45:35	7159/7159	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-cssf5e7d6b59b40b3d79a93c2d222b184ce8aa799b606b71f9cc69021175362f.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-cssf5e7d6b59b40b3d79a93c2d222b184ce8aa799b606b71f9cc69021175362f.css	(from https://xion.progressionstudios.com/)
09:45:35	63053/63053	---MCZ	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2016:17:09%20GMT	https://149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css1083659eb446c1ba8fc0fb939f600fe3bef44f97d4825a08c2b420e79a779.css	F:/WinHTTrack/Clean%20Architecture%20Project/149397400.v2.pressablecdn.com/wp-content/cache/fvm/min/1667405651-css1083659eb446c1ba8fc0fb939f600fe3bef44f97d4825a08c2b420e79a779.css	(from https://xion.progressionstudios.com/)
